# Samplenames with the same "label" will be considered technical replicates
samplename	antibody	biological_material	replicate	label	orig_filename
#SRR121525	H3K36me3	s2cell	1	s1	/home/bergeric/data/s2rnai/output/modENCODE_FQ/SRR121525_R1.fastq.gz
#SRR121526	H3K36me3	s2cell	1	s2	/home/bergeric/data/s2rnai/output/modENCODE_FQ/SRR121526_R1.fastq.gz
#SRR121527	H3K36me3	s2cell	1	s3	/home/bergeric/data/s2rnai/output/modENCODE_FQ/SRR121527_R1.fastq.gz
#SRR121528	H3K36me3	s2cell	1	s4	/home/bergeric/data/s2rnai/output/modENCODE_FQ/SRR121528_R1.fastq.gz
#SRR121529	H3K36me3	s2cell	1	s5	/home/bergeric/data/s2rnai/output/modENCODE_FQ/SRR121529_R1.fastq.gz
#SRR121530	H3K36me3	s2cell	1	s6	/home/bergeric/data/s2rnai/output/modENCODE_FQ/SRR121530_R1.fastq.gz
SRR121531	H3K36me3	s2cell	1	s7	/home/bergeric/data/s2rnai/output/modENCODE_FQ/SRR121531_R1.fastq.gz
#SRR121532_1	H3K36me3	s2cell	1	p1a	/home/bergeric/data/s2rnai/output/modENCODE_FQ/SRR121532_R1.fastq.gz
#SRR121532_2	H3K36me3	s2cell	1	p1a	/home/bergeric/data/s2rnai/output/modENCODE_FQ/SRR121532_R2.fastq.gz
#SRR869705	input	s2cell	1	input-rep1	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX287562/SRR869705/SRR869705_1.fastq.gz
#SRR869706	input	s2cell	2	input-rep2	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX287563/SRR869706/SRR869706_1.fastq.gz
#SRR869707	H3K9me2	s2cell	1	chip-rep1	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX287564/SRR869707/SRR869707_1.fastq.gz
#SRR869708	H3K9me2	s2cell	2	chip-rep2	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX287565/SRR869708/SRR869708_1.fastq.gz
SRR585041	input	s2cell	1	WT-input-1	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193308/SRR585041/SRR585041_1.fastq.gz
SRR585042	input	s2cell	1	WT-input-2	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193309/SRR585042/SRR585042_1.fastq.gz
SRR585043	input	s2cell	1	WT-input-4	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193310/SRR585043/SRR585043_1.fastq.gz
SRR585058	input	s2cell	1	trr-input-1	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193325/SRR585058/SRR585058_1.fastq.gz
SRR585059	input	s2cell	1	trr-input-2	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193326/SRR585059/SRR585059_1.fastq.gz
SRR585061	input	s2cell	1	trr-input-4	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193328/SRR585061/SRR585061_1.fastq.gz
SRR585071	input	s2cell	1	LPT-input-4	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193338/SRR585071/SRR585071_1.fastq.gz
SRR585051	H3K27ac	s2cell	1	WT-H3K27ac-1	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193318/SRR585051/SRR585051_1.fastq.gz
SRR585052	H3K27ac	s2cell	2	WT-H3K27ac-2	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193319/SRR585052/SRR585052_1.fastq.gz
SRR585053	H3K27me3	s2cell	1	WT-H3K27me3-4	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193320/SRR585053/SRR585053_1.fastq.gz
SRR585054	H3K4me1	s2cell	1	WT-H3K4me1-1	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193321/SRR585054/SRR585054_1.fastq.gz
SRR585055	H3K4me1	s2cell	2	WT-H3K4me1-4	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193322/SRR585055/SRR585055_1.fastq.gz
SRR585065	H327ac	s2cell	1	trr-H327ac-1	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193332/SRR585065/SRR585065_1.fastq.gz
SRR585066	H327ac	s2cell	2	trr-H327ac-2	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193333/SRR585066/SRR585066_1.fastq.gz
SRR585067	H3K27me3	s2cell	1	trr-H3K27me3-4	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193334/SRR585067/SRR585067_1.fastq.gz
SRR585068	H3K4me1	s2cell	1	trr-H3K4me1-1	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193335/SRR585068/SRR585068_1.fastq.gz
SRR585069	H3K4me1	s2cell	2	trr-H3K4me1-4	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193336/SRR585069/SRR585069_1.fastq.gz
SRR585072	H3K27me3	s2cell	1	LPT-H3K27me3-4	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193339/SRR585072/SRR585072_1.fastq.gz
SRR585073	H3K4me1	s2cell	1	LPT-H3K4me1-4	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193340/SRR585073/SRR585073_1.fastq.gz
SRR1714005	input	s2cell	1	p0-input	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810433/SRR1714005/SRR1714005_1.fastq.gz
SRR1714006	input	s2cell	1	p500-input	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810434/SRR1714006/SRR1714006_1.fastq.gz
SRR1714007	input	s2cell	1	p1000-input	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810435/SRR1714007/SRR1714007_1.fastq.gz
SRR1713999	H3K27me3	s2cell	1	p0-H3K27me3	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810427/SRR1713999/SRR1713999_1.fastq.gz
SRR1714000	H3K27me3	s2cell	1	p500-H3K27me3	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810428/SRR1714000/SRR1714000_1.fastq.gz
SRR1714001	H3K27me3	s2cell	1	p1000-H3K27me3	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810429/SRR1714001/SRR1714001_1.fastq.gz
SRR1714002	H3K27me3	s2cell	1	p0-H3K27me3-q	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810430/SRR1714002/SRR1714002_1.fastq.gz
SRR1714003	H3K27me3	s2cell	1	p500-H3K27me3-q	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810431/SRR1714003/SRR1714003_1.fastq.gz
SRR1714004	H3K27me3	s2cell	1	p1000-H3K27me3-q	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810432/SRR1714004/SRR1714004_1.fastq.gz
#Note here we are treating ip_3 and ip_4 as technical replicates for the sake of testing
#ip_3	gaf	embryo-1	1	gaf-embryo-1	data/example_data/chipseq_ip3.fq.gz
#ip_4	gaf	embryo-1	1	gaf-embryo-1	data/example_data/chipseq_ip4.fq.gz
#input_3	input	embryo-1	1	input-embryo-1	data/example_data/chipseq_input3.fq.gz
