samplename	antibody	biological_material	replicate	label	orig_filename
SRR901297	Rpb1	s2cell-58	1	SRX306194	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX306194/SRR901297/SRR901297_1.fastq.gz
SRR901298	input	s2cell-59	1	SRX306195	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX306195/SRR901298/SRR901298_1.fastq.gz
SRR901299	Ice1	s2cell-60	1	SRX306196	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX306196/SRR901299/SRR901299_1.fastq.gz
SRR901300	Rpb1	s2cell-61	1	SRX306197	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX306197/SRR901300/SRR901300_1.fastq.gz
SRR901301	input	s2cell-62	1	SRX306198	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX306198/SRR901301/SRR901301_1.fastq.gz
SRR901302	Rpb1	s2cell-63	1	SRX306199	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX306199/SRR901302/SRR901302_1.fastq.gz
SRR901303	input	s2cell-64	1	SRX306200	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX306200/SRR901303/SRR901303_1.fastq.gz
SRR901304	Rpb1	s2cell-65	1	SRX306201	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX306201/SRR901304/SRR901304_1.fastq.gz
SRR901305	input	s2cell-66	1	SRX306202	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX306202/SRR901305/SRR901305_1.fastq.gz
SRR942038	woc	s2cell-67	1	SRX326965	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX326965/SRR942038/SRR942038_1.fastq.gz
SRR942039	row	s2cell-68	1	SRX326966	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX326966/SRR942039/SRR942039_1.fastq.gz
SRR942040	pzg	s2cell-69	1	SRX326967	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX326967/SRR942040/SRR942040_1.fastq.gz
SRR942041	input	s2cell-70	1	SRX326968	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX326968/SRR942041/SRR942041_1.fastq.gz
SRR942042	input	s2cell-71	1	SRX326969	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX326969/SRR942042/SRR942042_1.fastq.gz
SRR942043	HP1c	s2cell-72	1	SRX326970	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX326970/SRR942043/SRR942043_1.fastq.gz
SRR942044	Ubqn	s2cell-73	1	SRX326971	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX326971/SRR942044/SRR942044_1.fastq.gz
SRR946215	EcR	s2cell-74	1	SRX330269	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX330269/SRR946215/SRR946215_1.fastq.gz
SRR946214	EcR	s2cell-75	1	SRX330269	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX330269/SRR946214/SRR946214_1.fastq.gz
SRR946216	EcR	s2cell-76	1	SRX330270	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX330270/SRR946216/SRR946216_1.fastq.gz
SRR946217	EcR	s2cell-77	1	SRX330270	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX330270/SRR946217/SRR946217_1.fastq.gz
SRR946218	input	s2cell-78	1	SRX330271	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX330271/SRR946218/SRR946218_1.fastq.gz
SRR1198772	input	s2cell-79	1	SRX495267	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX495267/SRR1198772/SRR1198772_1.fastq.gz
SRR1198773	input	s2cell-80	1	SRX495268	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX495268/SRR1198773/SRR1198773_1.fastq.gz
SRR1198774	CG8478	s2cell-81	1	SRX495269	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX495269/SRR1198774/SRR1198774_1.fastq.gz
SRR1198775	CG8478	s2cell-82	1	SRX495270	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX495270/SRR1198775/SRR1198775_1.fastq.gz
SRR1198780	input	s2cell-83	1	SRX495275	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX495275/SRR1198780/SRR1198780_1.fastq.gz
SRR1198781	input	s2cell-84	1	SRX495276	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX495276/SRR1198781/SRR1198781_1.fastq.gz
SRR1198782	H3K4me1	s2cell-85	1	SRX495277	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX495277/SRR1198782/SRR1198782_1.fastq.gz
SRR1198783	H3K4me1	s2cell-86	1	SRX495278	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX495278/SRR1198783/SRR1198783_1.fastq.gz
SRR1198792	input	s2cell-87	1	SRX495287	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX495287/SRR1198792/SRR1198792_1.fastq.gz
SRR1198793	input	s2cell-88	1	SRX495288	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX495288/SRR1198793/SRR1198793_1.fastq.gz
SRR1198794	H3K4me3	s2cell-89	1	SRX495289	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX495289/SRR1198794/SRR1198794_1.fastq.gz
SRR1198795	H3K4me3	s2cell-90	1	SRX495290	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX495290/SRR1198795/SRR1198795_1.fastq.gz
SRR1002328	input	s2cell-91	1	SRX359796	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX359796/SRR1002328/SRR1002328_1.fastq.gz
SRR1002329	AGO2	s2cell-92	1	SRX359797	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX359797/SRR1002329/SRR1002329_1.fastq.gz
SRR1002330	AGO2	s2cell-93	1	SRX359798	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX359798/SRR1002330/SRR1002330_1.fastq.gz
SRR1164535	input	s2cell-94	1	SRX467111	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX467111/SRR1164535/SRR1164535_1.fastq.gz
SRR1164536	input	s2cell-95	1	SRX467112	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX467112/SRR1164536/SRR1164536_1.fastq.gz
SRR1164537	His2Av	s2cell-96	1	SRX467113	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX467113/SRR1164537/SRR1164537_1.fastq.gz
SRR1164538	His2Av	s2cell-97	1	SRX467114	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX467114/SRR1164538/SRR1164538_1.fastq.gz
SRR1164539	input	s2cell-98	1	SRX467115	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX467115/SRR1164539/SRR1164539_1.fastq.gz
SRR1164540	input	s2cell-99	1	SRX467116	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX467116/SRR1164540/SRR1164540_1.fastq.gz
SRR1164541	His2Av	s2cell-100	1	SRX467117	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX467117/SRR1164541/SRR1164541_1.fastq.gz
SRR1164542	His2Av	s2cell-101	1	SRX467118	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX467118/SRR1164542/SRR1164542_1.fastq.gz
SRR1041448	CP190	s2cell-102	1	SRX385807	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX385807/SRR1041448/SRR1041448_1.fastq.gz
SRR1041449	CP190	s2cell-103	1	SRX385808	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX385808/SRR1041449/SRR1041449_1.fastq.gz
SRR1041450	input	s2cell-104	1	SRX385809	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX385809/SRR1041450/SRR1041450_1.fastq.gz
SRR1041451	CP190	s2cell-105	1	SRX385810	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX385810/SRR1041451/SRR1041451_1.fastq.gz
SRR1042411	BEAF-32	s2cell-106	1	SRX386677	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX386677/SRR1042411/SRR1042411_1.fastq.gz
SRR1042412	input	s2cell-107	1	SRX386678	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX386678/SRR1042412/SRR1042412_1.fastq.gz
SRR1199486	input	s2cell-108	1	SRX495788	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX495788/SRR1199486/SRR1199486_1.fastq.gz
SRR1199487	Myc	s2cell-109	1	SRX495789	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX495789/SRR1199487/SRR1199487_1.fastq.gz
SRR1199488	Myc	s2cell-110	1	SRX495790	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX495790/SRR1199488/SRR1199488_1.fastq.gz
SRR1141008	Pita	s2cell-111	1	SRX447392	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX447392/SRR1141008/SRR1141008_1.fastq.gz
SRR1141009	ZIPIC	s2cell-112	1	SRX447393	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX447393/SRR1141009/SRR1141009_1.fastq.gz
SRR1141010	input	s2cell-113	1	SRX447394	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX447394/SRR1141010/SRR1141010_1.fastq.gz
SRR1217228	MSL3	s2cell-114	1	SRX511123	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX511123/SRR1217228/SRR1217228_1.fastq.gz
SRR1217229	input	s2cell-115	1	SRX511124	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX511124/SRR1217229/SRR1217229_1.fastq.gz
SRR1217232	CG8290	s2cell-116	1	SRX511127	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX511127/SRR1217232/SRR1217232_1.fastq.gz
SRR1217233	input	s2cell-117	1	SRX511128	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX511128/SRR1217233/SRR1217233_1.fastq.gz
SRR1217234	CG8290	s2cell-118	1	SRX511129	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX511129/SRR1217234/SRR1217234_1.fastq.gz
SRR1217235	input	s2cell-119	1	SRX511130	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX511130/SRR1217235/SRR1217235_1.fastq.gz
SRR1217236	CG3680	s2cell-120	1	SRX511131	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX511131/SRR1217236/SRR1217236_1.fastq.gz
SRR1217237	input	s2cell-121	1	SRX511132	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX511132/SRR1217237/SRR1217237_1.fastq.gz
SRR1217238	CG3680	s2cell-122	1	SRX511133	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX511133/SRR1217238/SRR1217238_1.fastq.gz
SRR1217239	input	s2cell-123	1	SRX511134	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX511134/SRR1217239/SRR1217239_1.fastq.gz
SRR1556383	Ph	s2cell-124	1	SRX685461	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX685461/SRR1556383/SRR1556383_1.fastq.gz
SRR1556384	Ph	s2cell-125	1	SRX685462	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX685462/SRR1556384/SRR1556384_1.fastq.gz
SRR1556385	Ph	s2cell-126	1	SRX685463	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX685463/SRR1556385/SRR1556385_1.fastq.gz
SRR1556386	Ph	s2cell-127	1	SRX685464	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX685464/SRR1556386/SRR1556386_1.fastq.gz
SRR1556387	input	s2cell-128	1	SRX685465	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX685465/SRR1556387/SRR1556387_1.fastq.gz
SRR1556388	input	s2cell-129	1	SRX685466	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX685466/SRR1556388/SRR1556388_1.fastq.gz
SRR1556389	input	s2cell-130	1	SRX685467	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX685467/SRR1556389/SRR1556389_1.fastq.gz
SRR1556390	input	s2cell-131	1	SRX685468	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX685468/SRR1556390/SRR1556390_1.fastq.gz
SRR1713999	H3K27me3	s2cell-132	1	SRX810427	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810427/SRR1713999/SRR1713999_1.fastq.gz
SRR1714000	H3K27me3	s2cell-133	1	SRX810428	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810428/SRR1714000/SRR1714000_1.fastq.gz
SRR1714001	H3K27me3	s2cell-134	1	SRX810429	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810429/SRR1714001/SRR1714001_1.fastq.gz
SRR1714002	H3K27me3	s2cell-135	1	SRX810430	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810430/SRR1714002/SRR1714002_1.fastq.gz
SRR1714003	H3K27me3	s2cell-136	1	SRX810431	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810431/SRR1714003/SRR1714003_1.fastq.gz
SRR1714004	H3K27me3	s2cell-137	1	SRX810432	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810432/SRR1714004/SRR1714004_1.fastq.gz
SRR1714005	input	s2cell-138	1	SRX810433	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810433/SRR1714005/SRR1714005_1.fastq.gz
SRR1714006	input	s2cell-139	1	SRX810434	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810434/SRR1714006/SRR1714006_1.fastq.gz
SRR1714007	input	s2cell-140	1	SRX810435	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810435/SRR1714007/SRR1714007_1.fastq.gz
SRR1810942	input	s2cell-141	1	SRX883600	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX883600/SRR1810942/SRR1810942_1.fastq.gz
SRR1810943	input	s2cell-142	1	SRX883601	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX883601/SRR1810943/SRR1810943_1.fastq.gz
SRR1810946	Tet	s2cell-143	1	SRX883604	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX883604/SRR1810946/SRR1810946_1.fastq.gz
SRR1810947	Tet	s2cell-144	1	SRX883605	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX883605/SRR1810947/SRR1810947_1.fastq.gz
SRR1813243	Scm	s2cell-145	1	SRX885698	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX885698/SRR1813243/SRR1813243_1.fastq.gz
SRR1813244	input	s2cell-146	1	SRX885699	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX885699/SRR1813244/SRR1813244_1.fastq.gz
SRR1813245	Scm	s2cell-147	1	SRX885700	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX885700/SRR1813245/SRR1813245_1.fastq.gz
SRR1813246	input	s2cell-148	1	SRX885701	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX885701/SRR1813246/SRR1813246_1.fastq.gz
SRR1813247	Pc	s2cell-149	1	SRX885702	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX885702/SRR1813247/SRR1813247_1.fastq.gz
SRR1813248	input	s2cell-150	1	SRX885703	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX885703/SRR1813248/SRR1813248_1.fastq.gz
SRR1813779	MYST5	s2cell-151	1	SRX886165	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX886165/SRR1813779/SRR1813779_1.fastq.gz
SRR1813780	MYST5	s2cell-152	1	SRX886166	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX886166/SRR1813780/SRR1813780_1.fastq.gz
SRR1813781	input	s2cell-153	1	SRX886167	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX886167/SRR1813781/SRR1813781_1.fastq.gz
SRR1853006	input	s2cell-154	1	SRX907134	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX907134/SRR1853006/SRR1853006_1.fastq.gz
SRR1853007	input	s2cell-155	1	SRX907135	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX907135/SRR1853007/SRR1853007_1.fastq.gz
SRR1853008	Rrp6	s2cell-156	1	SRX907136	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX907136/SRR1853008/SRR1853008_1.fastq.gz
SRR1853009	Rrp6	s2cell-157	1	SRX907137	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX907137/SRR1853009/SRR1853009_1.fastq.gz
SRR2084560	Rpb1	s2cell-158	1	SRX1078884	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX1078884/SRR2084560/SRR2084560_1.fastq.gz
SRR2084561	Rpb1	s2cell-159	1	SRX1078884	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX1078884/SRR2084561/SRR2084561_1.fastq.gz
SRR2084563	Rpb1	s2cell-160	1	SRX1078884	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX1078884/SRR2084563/SRR2084563_1.fastq.gz
SRR2084562	Rpb1	s2cell-161	1	SRX1078884	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX1078884/SRR2084562/SRR2084562_1.fastq.gz
SRR2084564	Rpb1	s2cell-162	1	SRX1078885	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX1078885/SRR2084564/SRR2084564_1.fastq.gz
SRR2084567	Rpb1	s2cell-163	1	SRX1078885	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX1078885/SRR2084567/SRR2084567_1.fastq.gz
